BranchCode,City,State,Group,ItemSubGroup,Item,Color,IMEI1,IMEStock,BranchName,WH Name
MW0218,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE IPHONE 7 32GB,BLACK          ,359154070237559,1,2-KALKAJI DELHI,MAIN WH
MW0060,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE IPHONE 7 32GB,BLACK          ,355333082361698,1,RAMESH NAGAR,MAIN WH
MW0035,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-6 32GB-GOLD,GOLD,356645083383572,1,WH-DELHI,MAIN WH
MW0035,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-6 32GB-GOLD,GOLD,356645083384042,1,WH-DELHI,MAIN WH
MW0035,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-6 32GB-GOLD,GOLD,356645083390197,1,WH-DELHI,MAIN WH
MW0035,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-6 32GB-GOLD,GOLD,356645083411696,1,WH-DELHI,MAIN WH
MW0035,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-6 32GB-GOLD,GOLD,356645083384034,1,WH-DELHI,MAIN WH
MW0035,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-6 32GB-GOLD,GOLD,356645083390320,1,WH-DELHI,MAIN WH
MW0035,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-6 32GB-GOLD,GOLD,356645083412017,1,WH-DELHI,MAIN WH
MW0035,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-6 32GB-GOLD,GOLD,356645083397903,1,WH-DELHI,MAIN WH
MW0053,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-6 32GB-GREY,GREY,356646081415044,1,MALVIYA NGAR-DELHI,MAIN WH
MW0060,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-6 32GB-GREY,GREY,356645081608137,1,RAMESH NAGAR,MAIN WH
MW0073,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-6 32GB-GREY,GREY,356645081062509,1,KHANNA MKT DELHI,MAIN WH
MW0060,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-8-64GB,GOLD,356699086364600,1,RAMESH NAGAR,MAIN WH
MW0111,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-8-64GB,GOLD,356706086223163,1,SHANKAR ROAD-DELHI,MAIN WH
MW0053,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-X-256GB,SPACE GREY,353057096822641,1,MALVIYA NGAR-DELHI,MAIN WH
MW0075,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-X-256GB,SPACE GREY,353057097226933,1,NEHRUPLACE,MAIN WH
MW0075,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-X-256GB,SPACE GREY,353050097263311,1,NEHRUPLACE,MAIN WH
MW0075,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-X-256GB,SPACE GREY,353049096442462,1,NEHRUPLACE,MAIN WH
MW0004,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-X-256GB,SPACE GREY,353050096648090,1,SAKET DELHI,MAIN WH
MW0004,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-X-256GB,SPACE GREY,353055097128596,1,SAKET DELHI,MAIN WH
MW0053,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-IPHONE-X-256GB,SPACE GREY,353050096513609,1,MALVIYA NGAR-DELHI,MAIN WH
MW0218,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-iPHONE-X-64GB-SILVER,SILVER,354850094793759,1,2-KALKAJI DELHI,MAIN WH
MW0225,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-iPHONE-X-64GB-SILVER,SILVER,354839094906040,1,SEC-10-DWARKA,MAIN WH
MW0075,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-iPHONE-X-64GB-SILVER,SILVER,354849094820273,1,NEHRUPLACE,MAIN WH
MW0004,NEW DELHI,DELHI,MOBILE PHONES,APPLE-SMART PHONE,APPLE-iPHONE-X-64GB-SILVER,SILVER,354839094846279,1,SAKET DELHI,MAIN WH
MW0035,NEW DELHI,DELHI,MOBILE PHONES,BLACKBERRY-SMART PHONE,BLACKBERRY-9720,BLACK          ,357861050310246,1,WH-DELHI,DOA WH
MW0035,NEW DELHI,DELHI,MOBILE PHONES,BLACKBERRY-SMART PHONE,BLACKBERRY-EVOLVE,BLACK,911621750028798,1,WH-DELHI,MAIN WH
MW0035,NEW DELHI,DELHI,MOBILE PHONES,BLACKBERRY-SMART PHONE,BLACKBERRY-EVOLVE,BLACK,911621750028293,1,WH-DELHI,MAIN WH
MW0075,NEW DELHI,DELHI,MOBILE PHONES,BLACKBERRY-SMART PHONE,BLACKBERRY-KEY2,BLACK,911639800011317,1,NEHRUPLACE,MAIN WH
MW0035,NEW DELHI,DELHI,MOBILE PHONES,BLACKBERRY-SMART PHONE,BLACKBERRY-R072 - Z10,CHARCOAL BLACK ,357033056673387,1,WH-DELHI,DOA WH
MW0222,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094182380,1,2-ASHOK VIHAR-DELHI,MAIN WH
MW0002,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094186118,1,ALAKNANDA-DELHI,MAIN WH
MW0092,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094186209,1,GOLE MARKET-DELHI,MAIN WH
MW0221,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098939561,1,2-DAYALPUR - DELHI,MAIN WH
MW0027,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094186175,1,SARITA VIHAR-DELHI,MAIN WH
MW0127,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094186092,1,KAROL BAGH-DELHI,MAIN WH
MW0008,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098978189,1,KALKAJI DELHI,MAIN WH
MW0057,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094186241,1,MUNIRKA-DELHI,MAIN WH
MW0073,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098969758,1,KHANNA MKT DELHI,MAIN WH
MW0074,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094186225,1,2-DARYAGANJ-DELHI,MAIN WH
MW0116,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094905384,1,NP2-NEHRU PLACE-II,MAIN WH
MW0144,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098970913,1,SOUTH EX-DELHI,MAIN WH
MW0116,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094185953,1,NP2-NEHRU PLACE-II,MAIN WH
MW0001,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312096700973,1,VASANT KUNJ DELHI,MAIN WH
MW0002,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098970855,1,ALAKNANDA-DELHI,MAIN WH
MW0008,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094186167,1,KALKAJI DELHI,MAIN WH
MW0060,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312094186191,1,RAMESH NAGAR,MAIN WH
MW0027,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098939496,1,SARITA VIHAR-DELHI,MAIN WH
MW0208,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098970764,1,2-MALVIYA NAGAR-DELHI,MAIN WH
MW0147,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098978049,1,BHAJANPURA-DELHI,MAIN WH
MW0217,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312098978064,1,3-VIKAS MARG-DELHI,MAIN WH
MW0111,NEW DELHI,DELHI,MOBILE PHONES,SAMSUNG-SMART PHONE,GALAXY J2-CORE-J260G,BLACK,358312096707622,1,SHANKAR ROAD-DELHI,MAIN WH
